text,label
SEASON SIX GAVE ME DEPRESSION,MENTAL_HEALTH
"That feeling when you know God is about to bless you in a major way so you are anxious, nervous, and excited.",OTHER
"Nice guys knew this, but the fact that it's been scientifically proven is depressing😭😭",OTHER
People will pretend to anxiety and/or depression on social media for likes and that's fucking disgusting. 🙄,OTHER
my therapist swears that i'm depressed but what he doesn't know is i can grab rim if i get a running start and a proper jump off,OTHER
@user Watch  Tom &amp; Jerry  continue 2 hr 100% your depression finish 👌👍🙂🙂🤗 ager nehi tu paise wapis,OTHER
"hello, depression is kicking my ass.",MENTAL_HEALTH
@user Depression over Crooked H not get baton passed seamlessly from O'bummer and now hatred over President Trump,OTHER
So feeling a lil depressed tonight so good vibes would be appreciated 💗,MENTAL_HEALTH
that Tom odell song another love still hitting the same we going ✈ depression,MENTAL_HEALTH
ugh everything sucks right now #depressed,MENTAL_HEALTH
I hope this is the last time that I have to watch Philly this season. Their offense depresses me #TORvPHI,OTHER
Lol y'all falsely romanticize depression and mental breakdowns and loneliness like that shit is a cool trend. 🚮🚮🚮,OTHER
"stressed, depressed and sleep deprived... life is absolutely great (‘:",MENTAL_HEALTH
depression is dampening my creativity instead of fueling it... i was lied to many times,MENTAL_HEALTH
Being stuck in tk working almost everyday is depressing when everyone around you is traveling 🤦🏾‍♀️,OTHER
I'm really depressed today so I'm gonna do this tomorrow. Sorry,MENTAL_HEALTH
As I was uploading today's video I got an email saying I won't be allowed to record BO4 gameplay at the event tonight I am depression,OTHER
i'm so depressed,MENTAL_HEALTH
FUCK ANXIETY. 🖕🖕,MENTAL_HEALTH
That Pihu trailer made my anxiety spike,MENTAL_HEALTH
Got a very suspicious scam email and now im kinda anxious,OTHER
@user @user This is depressing me,MENTAL_HEALTH
// Feeling down about stuffs.Anxiety probably.,MENTAL_HEALTH
having anxiety is like being sad for no reasons seconds after u feel happy.,MENTAL_HEALTH
anxiety consumes you.,MENTAL_HEALTH
@user Damn that shit depressing,OTHER
guess which bitch has major anxiety but made plans to pick someone up from LAX as a power move???? also!!! me!!!!!,MENTAL_HEALTH
No one:My friend: your social anxiety is so bad,MENTAL_HEALTH
im depressed and want someone to talk to me but im also too depressed to answer messages :(,MENTAL_HEALTH
gonna do some depressed asos shopping instead of cleaning my shit state room,MENTAL_HEALTH
Why does anxiety have the power to destroy every other emotion you want to feel,MENTAL_HEALTH
ugh anxiety hits me rn 😭,MENTAL_HEALTH
American politics is depressing.,OTHER
@user i'm having an anxiety attack just thinking about it 😂,OTHER
im so fucking anxious *starts cleaning with a broom* IM SO FUCKING ANXIOUS *saihara-kun comes in* GET THE FUCK OUT,MENTAL_HEALTH
"Aside from my depression &amp; grief, I had a pretty cool birthday 🤷🏾‍♀️",MENTAL_HEALTH
Anxiety has peaked tonight,MENTAL_HEALTH
i hate it when people use the term 'nagdedepress-depressan'... can u pls explain to me why i would want to pretend to be unhappy????? 😐🙃,MENTAL_HEALTH
Long ass dream about very real inevitability. #Depressing #BootInAss #FML,OTHER
"Maybe I'm exhausted, maybe I might be actually depressed. I guess we'll have to see tomorrow morning",OTHER
You obviously don't know anything about social anxiety,MENTAL_HEALTH
"im going to check the nurse room again. I feel so much pain in my chest, this anxiety needs to leave.",MENTAL_HEALTH
i feel so depressed bc of these last two days i dont know how to even be happy anymore :/,MENTAL_HEALTH
@user dont worry about it we all have anxiety you'll get it eventually,MENTAL_HEALTH
@user Just took me 132.8 minutes to circle Earth. I really did use to love doing this without anxiety.,MENTAL_HEALTH
"My anxiety levels have been one million lately, and I just want to know why",MENTAL_HEALTH
mf ain't gone be happy til i'm somewhere dead die to stress &amp; depression .,MENTAL_HEALTH
can i stop being a depressed little bitch it's annoying,MENTAL_HEALTH
S/o depression naps,MENTAL_HEALTH
"SKDJDJ ILL REPLACE MY POST II DEPRESSION W PRE II HYPE FOR SG, HK N MUMBAI",OTHER
"sunshine, good music + the windows down = goodbye seasonal depression, you won't be missed🌞🌞🚗🎵",MENTAL_HEALTH
"@user @user @user This cured my depression, thanks boss",MENTAL_HEALTH
New uniforms and now apparently a whole new roster. #Indians #Depressing,OTHER
"depression is hella real no if ands or buts about it, its unfair to have someone else trying to fix it tho",MENTAL_HEALTH
"I have so much dread and anxiety, I'm impressed I haven't vomited. This has been a PSA.",MENTAL_HEALTH
Depressive episodes in at 12 am when ur parents r fighting is fun,MENTAL_HEALTH
"I'm Danny Dyer, and I'm about to meet Britain's most depressed air stewards",OTHER
But the depression and anxiety stay the same,MENTAL_HEALTH
i drank half an iced coffee and I went home and have been in bed for two hours because I'm too anxious to do anything,MENTAL_HEALTH
My anxiety does not exist at theme parks,MENTAL_HEALTH
They all suffer from depression.,OTHER
its 7p on a weds night and im anxious about hippo habitat loss in central Africafuckkkkk,OTHER
I'm depressed af my heart is crying goodnight everyone and goodnight to taylor,MENTAL_HEALTH
"The more homework that a child receives, the more likely that child is to suffer from depression.",OTHER
Change up your ring and alarm tones to remove the anxiety and hatred of them that builds up over time.,OTHER
I cannot stand flies. They give me anxiety they need to be extradited right off this planet. N there's only always one lingering. FUCCCKKKKK,OTHER
When your Aquarius friend is depressed:,OTHER
that I was on the 'devine diet or depressed' asdfghjkl 😂,OTHER
finally scotty sire has a reason to not be depressed,OTHER
just depression-eating @user thanks,MENTAL_HEALTH
I'm gonna be disconnected from the results of game five while heading home and oh god the anxiety 🥺,OTHER
"If @user hasn't made a cover of 'The Best' by Bonnie Tyler/Tina Turner, as 'I'm simply depressed', someone should!",MENTAL_HEALTH
"I'm officially depressed, I forgot my headphones at home",OTHER
"fuck your zodiac sign, what anti-depressant are you on?",OTHER
im so happy and depressed at the same time,MENTAL_HEALTH
Trust me i used to think hanging out with friends is better in handling my anxiety and stress but now i find more peace in being alone,MENTAL_HEALTH
That's a lot to clean up... I'm getting anxiety already,MENTAL_HEALTH
@user Overthinking Nostalgia DepressionFrustration,OTHER
I sleep probably way more than the average person lol depression is a bitch,MENTAL_HEALTH
@user i do that with my antidepressants 😬,MENTAL_HEALTH
I love that one of my supervisors let's me text her when I need switch shifts. Helps ease my anxiety lol.,MENTAL_HEALTH
Is he stressed? depressed? up to the point wherein 'drugs' is the only way for him to escape reality?#SueDispatch,OTHER
Should I continue to grow the depression beard,MENTAL_HEALTH
@user @user That's just depressing,OTHER
today is a depressing day,MENTAL_HEALTH
Procrastination and depression don't mix. I promise you that. 😰,MENTAL_HEALTH
@user Hmm...a clear case of depression...,OTHER
"@user I'm struggling with anxiety, loneliness, depression. Finding myself struggling to have that intimacy with God.",MENTAL_HEALTH
so tired of being depressed this shits making me laugh now,MENTAL_HEALTH
Sure! I also remember being anxious about being asked about the criminal am nerve of Grassi!,OTHER
wow first day of daylight saving and my seasonal depression has already kicked in :))),MENTAL_HEALTH
"and my anxiety is breaking me, it kills mei'm living in a world so fake, I lost touch of the real me",MENTAL_HEALTH
I don't know which one is keeping me up at this point ... my depression or my anxiety 😩,MENTAL_HEALTH
Stoned and depressed a very scary place to be,MENTAL_HEALTH
• Don't focus on the end result and how you think you'll do. This can increase your anxiety and make you want to avoid it even more,OTHER
@user at least u make it look less depressing,OTHER
@user 23% of depression doesn't come out of space dave,OTHER
@user 'you better not. I spent too long getting him out of a whole of depression just for the same thing to happen all over again.',OTHER
@user Yessss . I've been depressed recently and it would nice 💗,MENTAL_HEALTH
Update: anxiously sitting in my car kinda want to sleep,MENTAL_HEALTH
@user Eeps. Yeah. Plus I have all kinds of anxiety about Drs AND driving so it's been an awesome day.,OTHER
"I deal with Anxiety, but you're not gonna see me walking around with a sweatshirt showcasing and praises my issues...",MENTAL_HEALTH
does anyone else get an extreme anxiety spike when they hear the siren from the silent hill movie?,OTHER
ok welp it's anxiety hours.,MENTAL_HEALTH
"@user @user You sound pretty anxious!Let the House Work, baby! 😂🤣😂",OTHER
"I knew that Quinn could be idealistic, but I was surprised that he seemed so anxious today while we were at the party.",OTHER
Does anyone get like random burst of anxiety cause their brain tell them their bf doesn't like them anymore?Just me? Cool,MENTAL_HEALTH
"anxiety sucks, for real",MENTAL_HEALTH
@user same they bully me and i blame them for having depression now and being socially awkward,MENTAL_HEALTH
@user So anxious ab thissss,OTHER
@user @user You're to young to know what depression is.,MENTAL_HEALTH
Gonns play overdepressed,OTHER
The post good ass weekend depression is real af,MENTAL_HEALTH
Anxiety is no joke dude... you literally can't do shit about it,MENTAL_HEALTH
@user You depressed?,OTHER
@user anxious to hear,OTHER
Hate waking up to an anxiety attack,MENTAL_HEALTH
My pet fishes seem to have separation anxiety from my dad and his loud jamaican voice. Everytime he goes on vacation atleast one of them die,OTHER
@user NO THAT WAS ME I WAS JUST BEING DUMB AND ANXIOUS IT WONT BE THAT BAD IM SORRY SJGJSJF,OTHER
I hate having anxiety,MENTAL_HEALTH
Look I'm already depressed there is nO NEED for this. NONE.,MENTAL_HEALTH
me: trying to say but just tweeting is making me kind of anxious dsKJSDFH...,OTHER
Anxiety and coffee does not mix well together 😣😣,MENTAL_HEALTH
Vibrating with great anxietyMy insides throb at your touchI need to have you like thisFilling Me closely,MENTAL_HEALTH
i call dibs on the stone that absolves my ever-increasing crippling anxiety,MENTAL_HEALTH
@user @user Practically every synagogue near me has a security detail. It's so depressing,OTHER
mad how the whole of the uk were pure buzzing in the sun now we're all depressed again lol,OTHER
ok so I'm gonna try to promise myself that i won't get bored and depressed an end the year at least satisfied with what I've done.,OTHER
depression is not something that will magically go away by 'moving on'. u need to get educated,MENTAL_HEALTH
28 hours since sleep and I'm feeling very very very very very very anxious,MENTAL_HEALTH
F this. I'm about to have an anxiety attack.,MENTAL_HEALTH
My anxiety is doing crazy things today.,MENTAL_HEALTH
Anxiety attacks are no joke..,MENTAL_HEALTH
Taking practice tests for my boards gives me SO much anxiety.,MENTAL_HEALTH
Life is depressing but at least there's hentai and coffee.,OTHER
anxiety attack fucks,MENTAL_HEALTH
"@user @user This country is a mess, read my most recent tweets, its so depressing at how down hill it's gone xx",OTHER
"Depression causes undernutrition, but I've gained weight???? Science is broken.",MENTAL_HEALTH
"@user Well, I'm anxious.",OTHER
@user @user Then I'm not sure you know what depression is.,OTHER
@user @user @user The implications of that quote are so depressing,OTHER
My anxiety is on EDGE,MENTAL_HEALTH
"i really need more long term friends, i'm falling deeper into a depressive episode nd it sucks h",MENTAL_HEALTH
@user Anxiety labda but anyways ukipata wawili just push the other over here but for the time being  ....♥,OTHER
Hello depression. I haven't seen you in awhile.,MENTAL_HEALTH
me trying to fight anxiety,MENTAL_HEALTH
do u ever feel anxious for no reason? yeah same,OTHER
Too many @user logistics anxieties right now...bout to ride a bike to work off some of this energy 🎏🔥😵,OTHER
@user depressed bitch 😂😂😂,OTHER
"My dream significant other has three eyes, a dog in their tinder bio, and anxiety.",OTHER
going to the bars my dad always went to gives me a whole new kind of anxiety,MENTAL_HEALTH
takes two pain meds so i can get knocked tf outalso anxiety turned into headache so theres thatam out,MENTAL_HEALTH
the way my mum guilt trips me into doing things i dont want to do is the reason i have depression and anxiety &lt;3,MENTAL_HEALTH
@user This current administration is the cause of a lot of people I know feeling deeply depressed.,OTHER
"The Day Chapter 1, a sonic the hedgehog fanficKnuckles is depressed and goes into a rampage and breaks the master emerald.",OTHER
@user i have social anxiety i am immune to anyone i can easily walk away from,MENTAL_HEALTH
"When I get depressed I could go days without talking to anybody 😭. It's nothing personal, I just have to recollect myself",OTHER
@user I am now having a hissy anxiety fit!,MENTAL_HEALTH
@user ..The ABC must be a den of utter depression at the moment. 😊,OTHER
it's actually so depressing coming back home from a holiday,OTHER
@user How depressing for British Tennis 🎾 now what?? 😏😢☹️☹️☹️,OTHER
this movie pissing me off.....giving me anxiety......stressing me.....sjhhjhssjjjjh like got damn....,MENTAL_HEALTH
"@user I swear.. She responded like she's emotionally depressed.. She needs a man, but she no go gree 😂",OTHER
@user @user @user Chill this is depressing,OTHER
@user The dude has actually turned into everything he actively railed against during the whole #Gamergate episode. Depressing.,OTHER
Some strange men just talked to us and they don't seem to understand personal space or social anxiety. I just wanna be home,MENTAL_HEALTH
@user It's my duty to love every depressed character,OTHER
@user @user This gave me so much anxiety,MENTAL_HEALTH
seems like anxiety always comes back around .,MENTAL_HEALTH
"When Im depressed, I sleep a lot and live in my dreams",OTHER
Fck yes this honestly made me depressed. First day of school plg muni na sa utok ko,OTHER
GAHHH WHAT IS THE KEY TO NOT FEEL SO SHIT N DEPRESSED N JUST WORTHLESS ALL THE TIME ?,MENTAL_HEALTH
@user that was such a depressing period,OTHER
@user i don't want to encourage the depression but.... it is the best show of all time and you have to watch,OTHER
I can't look when they start tattooing my anxiety goes OFF when they turn the machine on,MENTAL_HEALTH
My anxiety been OD lately,MENTAL_HEALTH
No more anxiety attacks about practicals till January yay,MENTAL_HEALTH
@user my anxiety kicked in quick bro...,MENTAL_HEALTH
bro i sat here for 20 minutes contemplating posting that MY ANXIETY i hate myself goodbye,MENTAL_HEALTH
was having a good day then boom instantly depressed,MENTAL_HEALTH
@user O please let's go! I'm 62&amp; so anxious 4 ERA  2PASS ON TRUMPS WATCHIMAGINE,OTHER
I haven seen my girl in two days I'm officially depressed 😕,MENTAL_HEALTH
I Honesty Want Someone 2 Slap My Stupid Ass When I Get In My Depressing Fuck The World Moods.... Like Tightrn Me DF Up,MENTAL_HEALTH
feel like i'm never gone escape this depression shit.,MENTAL_HEALTH
I feel like my depressing days r coming again so yeah.. i dont even know what/who's the trigger but i can feel it in my veins,MENTAL_HEALTH
"Prostate cancer can make you feel lost, anxious, low in mood and alone. It's important to talk about your experience #talkiskey",OTHER
i am sososososso anxious rn. literally about to cry and i keep shaking and i have no clue why i feel like this. ?? like wtf is wrong w me,MENTAL_HEALTH
can't be an afuly. can't do it. not just yet. idc if i'm almost 19. too much anxiety. im gonna kms. it's a no for me,MENTAL_HEALTH
My anxiety is bad for no reason at all. I feel like I'm gonna throw up like am I like this lmfao,MENTAL_HEALTH
For awareness... do you struggle with anxiety &amp; or panic attacks?,OTHER
This bitter cold and now scare that we are all going to run out of natural gas is giving me anxiety.,MENTAL_HEALTH
@user @user @user This Charlotte girl character  can depress people,OTHER
@user Lmfaooooooo fuck it I'm anxious.,MENTAL_HEALTH
@user this is so depressing im about to cry,OTHER
Have people started getting emails from axs and ticketmaster uk yet? Asking for my anxiety.,MENTAL_HEALTH
"some people are pretending to be depressed just to gain attention. quit it, it won't make u cool i swear.",OTHER
When somebody tell me they gotta talk to me that shit make my anxiety go up 😭,MENTAL_HEALTH
Anxiety is the worst,MENTAL_HEALTH
anxietyrestlessness uncertainty insomniaexhaustion painis depression even not an option ??,MENTAL_HEALTH
I really just need reassurance and someone to hold me bc overthinking really has me feeling anxious n scared wtf,MENTAL_HEALTH
well atleast my anxiety is there to f me everyday hnnnggghhhhnggnng,MENTAL_HEALTH
@user i actually have anxiety.,MENTAL_HEALTH
Anxiety literally runs my life wby,MENTAL_HEALTH
this bitch is feeling sad and depressed which got me feeling sad and depressed and now we crying together.. issa bonding moment,OTHER
Wow I forget how anxious I get in new settings with a bunch of people I don't know,MENTAL_HEALTH
My anxiety is out the roof,MENTAL_HEALTH
@user Pets are like magic antidepressants. 😊,OTHER
and i'm depressed again.. love that.,MENTAL_HEALTH
"This is my side thing to post about my depression and anxiety. If you found this accidentally, lo siento mucho.",MENTAL_HEALTH
Fuck a anxiety and fuck a depression,MENTAL_HEALTH
me: slightly nervous/anxious for whatever reasonmy body: ur stomach? in pain! nausea? present!,MENTAL_HEALTH
Someone recc me good Yaoi? Last time I read two and watched to depressing ones and yeah,OTHER
what a GREAT time to be a depressed bisexual huh!!!! SO much respectful well-written representation for us!!!! 🙃🙃,MENTAL_HEALTH
This reality is so deeply depressing.,OTHER
"@user I've seen some minorly depressing episodes OF it, does that count?",OTHER
My anxiety level is above the maximum limit right now. 😭🙀,MENTAL_HEALTH
Can June get here already I'm anxious af to see YC and finally go to a show again 😩😋,OTHER
These opening statements are ratcheting up Dr. Ford's anxiety. 😖#FordHearing #FordKavanaugh,OTHER
I woke up so anxious I'm crying already and I've been awake 5 minutes i love my life,MENTAL_HEALTH
I longed for the joy that had left me .I suffer from depression,MENTAL_HEALTH
@user Depressingly accurate!,OTHER
More depressed than I could have thought I'd ever get again. I miss both my girls soooo much man..,MENTAL_HEALTH
i went on a walk and my anxiety actually decided to stop uwu,OTHER
it's the last full week ragan is here before college starts i'm depressed,OTHER
"That depressing moment when you dip your cookie into milk for too long, it breaks off, and you wonder why bad things happen to good people.",OTHER
It's pretty sad when you get anxiety about making a therapy appointment to talk about your anxiety. 😬,MENTAL_HEALTH
Honestly lucky to have my best mate when I go through depression he just listens and it's what I need 💕,MENTAL_HEALTH
the show really depicted depression in the realest way #EuphoriaHBO,OTHER
I'm glad some of y'alls depression is going away!!,OTHER
I swear my anxiety ruins everything.... I don't have anxiety I lied but this girl makes me crazyyyy 😖🥰,OTHER
"I don't care , i am not depressed I didn't even cry or got a tear in my face because i know i have to survive all of this to be happy",OTHER
@user I'm a shut in because I'm depressed,MENTAL_HEALTH
Tis the season for depression,MENTAL_HEALTH
@user I'm a depressed piece of shit 👺🤪,MENTAL_HEALTH
Everytime i think about my bro that shit get me depressed.,OTHER
me @ my anxiety: fuck off pls,MENTAL_HEALTH
what the fuck am i so anxious for im sitting in my room alone playing COD,MENTAL_HEALTH
I always dedicated this song to my anxiety. It SUCKS and it needs a taste of it's own medicine.,MENTAL_HEALTH
This at bat has me so anxious,OTHER
My last two functioning serotonin producers looking at my depression,MENTAL_HEALTH
@user Don't bother - it's just embarrassing &amp; depressing,OTHER
@user sometimes...........depression is the spark of genius,OTHER
Twitter can be so useful yet so depressing. Sometimes you just need a bit of this,OTHER
Imagine being hospitalised because of anxiety,OTHER
@user For anxiety,OTHER
@user Did you listen to like all of big pink loser or just like I'm depressed or bands up,OTHER
I only make puns when on the cusp of depression,OTHER
Hear go this bitch named Depression tryna creep up on me. Not tonight hoe,OTHER
@user Ok I'm depressed,MENTAL_HEALTH
Waah indomaret muter video klip Hello Anxiety-nya Phum Viphurit!!🕺🕺🕺,OTHER
The biggest mood is feeling super anxious but not wanting to ring anyone bc u don't wanna bother them 🤙🏼,MENTAL_HEALTH
i wish i dont have to be anxious whenever im with people,MENTAL_HEALTH
"When the depression, anxiety and depersonalization disorder combo kicks in, it really kicks in",MENTAL_HEALTH
i am drowning in my anxiety tysm :),MENTAL_HEALTH
This is so depressing,OTHER
Nothing gives me anxiety more than the tills at Aldi 😫,OTHER
we going ✈️ depression,MENTAL_HEALTH
@user @user I find yoga classes great for meeting people who are really open which helps with any anxiety,OTHER
so READY to have my bmc support system back and not go thru anxiety alone,MENTAL_HEALTH
Some real #WednesdayWisdom to help #HowIFightDepression. 🙏🏼,MENTAL_HEALTH
just finished my cna state board... and when i say i'm anxious to get my results i'm ANXIOUS,OTHER
@user @user Rosie looks as if she is dealing with depression.,OTHER
Putting things in the overhead bin causes so much anxiety like I really have to prep myself to do it 😭,OTHER
I'm so anxious I feel sick,MENTAL_HEALTH
"Facts, ah nigga anxiety start to kick in &amp; I be thinking mf tryna rob my ass",OTHER
Everything is hard when you're depressed....,MENTAL_HEALTH
@user And then that's why I was depressed because I couldn't even afford to afford😂,OTHER
Knowing you have anxiety creates a whole new kind of anxiety😩,MENTAL_HEALTH
the nosedive episode of black mirror gives me real life anxiety every time i watch it; my tiny brain cannot handle it,OTHER
Also really captures the mild depression and sleepless nights worrying over whether it will be okay.,OTHER
tf do white people know about seasonal depression,MENTAL_HEALTH
Waking up depressed fucking sucks,MENTAL_HEALTH
@user @user Friday's that text is very important .If I don't get it I send it .It's depressing to drink alone.,OTHER
"@user Hey, @user I have a story to tell you about anxiety/panic attacks. PM pleaseYou are doing great work btw keep it up!",MENTAL_HEALTH
im so fukn depressed oly fuk. i hate this. dam,MENTAL_HEALTH
Q: What keep gen-y depression today?A: Instagram,OTHER
"i cut it off when i was like, peak manic depressive. what a wild ride this year has been!",OTHER
Depression is no joke. I pray for those that still haven't found balance in their lives. 🙏,OTHER
Me with my anxiety 😢,MENTAL_HEALTH
@user @user depression for not enjoying the good life he is used too,OTHER
Seasonal depression is real!,MENTAL_HEALTH
"I really just want to delete my whole instagram page because it feels so toxic and brings me no joy, only anxiety.",OTHER
I'll do a countdown Even if it make me even more nervous and anxious,OTHER
@user @user @user Glycine glutamamte and GABA work together to decrease anxiety. All derive from #meat #eatmeatbehappy,OTHER
Why do i look like a stereotypical depressed deprived teenage kid,MENTAL_HEALTH
Anxiety is through the roof today.,MENTAL_HEALTH
Will my depression ever go away,MENTAL_HEALTH
@user It means you have anxiety depression. Enjoy.,OTHER
good load of anxiety just now,MENTAL_HEALTH
"@user Thanks for this, Peter. Very helpful if depressing. Is Barnier still ruling out at UK-wide backstop? If so, why?",OTHER
My anxiety is so bad that I get nervous to hang up a phone call first after we both say bye lmao,MENTAL_HEALTH
"@user Bless my therapist who is currently on HER vacation, but she's still messaging me about my vacation anxiety.",MENTAL_HEALTH
okay can y'all stop speaking on shit u don't understand aka : social anxiety,MENTAL_HEALTH
That yüng depression is kicking in so imma step away from here for a bit peace and blessings,MENTAL_HEALTH
Depressed shit 😉,MENTAL_HEALTH
"i get anxiety about this all the time, save the earth!!!!",MENTAL_HEALTH
